Name,Source,Type,Campaign,Program,Project,Deliverable,Experience,launchStart,launchEnd,CreatedAt,CreatedBy
Creative Pro Journey_NA,Adobe Journey Optimizer,Journey,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,,,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Craig Mathis
Student Journey_NA,Adobe Journey Optimizer,Journey,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,,,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Craig Mathis
Student_Journey_Non-NA,Adobe Journey Optimizer,Journey,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_JP,Photography_Your Shot Your Story_Consideration_EMEA,Photography_Your Shot Your Story_Consideration_JP,Photography_Your Shot Your Story_Consideration_APAC,Photography_Your Shot Your Story_Engagement_EMEA",Your Shot Your Story_LCM Experiences,,,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Craig Mathis
Student Offer Message_YSYS_Email Action,Adobe Journey Optimizer,Email,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,"image_asset_123,image_asset_456,CC_Photoshop_10Percent",launchEnd,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Phoebe Atkins
Pro Offer Message_YSYS_Email Action,Adobe Journey Optimizer,Email,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,"image_asset_def,video_asset_hij,CC_Photoshop_10Percent",Creative Pro Journey_NA,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Phoebe Atkins
CCExpress_YSYS_MobilePush_Action,Adobe Journey Optimizer,Mobile Push,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,,Creative Pro Journey_NA,2021-12-16,2022-02-28,2021-11-03T18:40:32.142+0100,Phoebe Atkins
Your Shot Your Story_Holiday Email,Adobe Journey Optimizer,Email,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_NA",Your Shot Your Story_LCM NA Experiences,"CC_for_Photographers_offer_123,video_asset_789,creatives_students_NA,creatives_pros_NA",,2021-12-25,2021-12-30,2021-11-03T18:40:32.142+0100,Phoebe Atkins
YSYS_A.com_Landing Page,Adobe Experience Manager Sites,Web,Photography_Your Shot Your Story_FY22,,Your Shot Your Story_LCM NA Experiences,"image_asset_123,image_asset_456,video_asset_789",,2022-01-02,2022-02-28,2021-11-03T18:40:32.142+0100,Stephen Gould
YSYS_Blog_Article,Adobe Experience Manager Sites,Web,Photography_Your Shot Your Story_FY22,,Your Shot Your Story_LCM NA Experiences,"image_asset_123,video_asset_789",,2021-12-15,2022-02-28,2021-11-03T18:40:32.142+0100,Stephen Gould
YSYS_A.com CCHome_BannerOptimization,Adobe Target,Web,Photography_Your Shot Your Story_FY22,,Your Shot Your Story_LCM NA Experiences,image_asset_123,YSYS_A.com_Landing Page,2022-01-28,2022-02-28,2021-11-03T18:40:32.142+0100,Stephen Gould
