Name,Project,Description,Status,Source,Campaign,Program,Deliverable,Experience,CreatedAt,OwnedBy,CreatedBy,Start,End
Build Campaign Brief,Your Shot Your Story_Campaign Ops,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,,,2021-09-01T18:40:32.142+0100,Steve Wirig,Steve Wirig,2021-09-02,2021-09-09
Develop Campaign Budgets,Your Shot Your Story_Campaign Ops,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,,,2021-09-01T18:40:32.142+0100,Andy Watanabe,Andy Watanabe,2021-09-04,2021-09-10
Deliver Creative Brief,Your Shot Your Story_Campaign Ops,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,,,2021-09-01T18:40:32.142+0100,Ryan Cobourn,Andy Watanabe,2021-09-10,2021-09-20
Organize Campaign by Quarterly Programs,Your Shot Your Story_Campaign Ops,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,,,2021-09-01T18:40:32.142+0100,Andy Watanabe,Steve Wirig,2021-09-10,2021-09-20
Assign Program Owners,Your Shot Your Story_Campaign Ops,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,,,2021-09-01T18:40:32.142+0100,Andy Watanabe,Steve Wirig,2021-09-20,2021-09-23
Build Program Timeline,Your Shot Your Story_Campaign Ops,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,,,2021-09-01T18:40:32.142+0100,Andy Watanabe,Steve Wirig,2021-09-25,2021-09-25
Approve Campaign/Program Plan,Your Shot Your Story_Campaign Ops,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,,,2021-09-01T18:40:32.142+0100,Steve Wirig,Steve Wirig,2021-10-01,2022-10-07
Build Core Campaign Assets,YSYS_Creative Production,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,"image_asset_123,image_asset_456,video_asset_789,image_asset_abc,image_asset_def,video_asset_hij",,2021-09-01T18:40:32.142+0100,Ryan Cobourn,Ryan Cobourn,2021-10-01,2022-11-20
Review and Approve Core Assets,YSYS_Creative Production,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,"image_asset_123,image_asset_456,video_asset_789,image_asset_abc,image_asset_def,video_asset_hij",,2021-09-01T18:40:32.142+0100,Ryan Cobourn,Ryan Cobourn,2021-11-22,2022-11-24
Publish Core Assets to DAM,YSYS_Creative Production,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,"image_asset_123,image_asset_456,video_asset_789,image_asset_abc,image_asset_def,video_asset_hij",,2021-09-01T18:40:32.142+0100,Ryan Cobourn,Ryan Cobourn,2021-11-30,2022-11-30
Build Channel Renditions for Email,YSYS_Creative Production,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,"image_asset_123_email,image_asset_456_email",,2021-09-01T18:40:32.142+0100,Ryan Cobourn,Ryan Cobourn,2021-10-01,2022-11-20
Review and Approve Email Channel Assets,YSYS_Creative Production,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,"image_asset_123_email,image_asset_456_email",,2021-09-01T18:40:32.142+0100,Ryan Cobourn,Ryan Cobourn,2021-11-22,2022-11-24
Publish Email Assets to DAM,YSYS_Creative Production,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,"image_asset_123_email,image_asset_456_email",,2021-09-01T18:40:32.142+0100,Ryan Cobourn,Ryan Cobourn,2021-11-30,2022-11-30
Build Channel Renditions for Social,YSYS_Creative Production,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,"image_asset_123_social,image_asset_456_social,video_asset_789_social",,2021-09-01T18:40:32.142+0100,Ryan Cobourn,Ryan Cobourn,2021-10-01,2022-11-20
Review and Approve Core Assets,YSYS_Creative Production,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,"image_asset_123_social,image_asset_456_social,video_asset_789_social",,2021-09-01T18:40:32.142+0100,Ryan Cobourn,Ryan Cobourn,2021-11-22,2022-11-24
Publish Social Assets to DAM,YSYS_Creative Production,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,,"image_asset_123_social,image_asset_456_social,video_asset_789_social",,2021-09-01T18:40:32.142+0100,Ryan Cobourn,Ryan Cobourn,2021-11-30,2022-11-30
Build NA Audience Segments in AEP for Journeys and Social Ads,Your Shot Your Story_LCM NA Experiences,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Consideration_NA,Photography_Your Shot Your Story_Awareness_NA","creatives_students_NA,creatives_pros_NA",,2021-09-01T18:40:32.142+0100,Craig Mathis,Craig Mathis,2021-10-03,2022-11-30
Adapt NA Awareness Journey Experience for YSYS content,Your Shot Your Story_LCM NA Experiences,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Consideration_NA,Photography_Your Shot Your Story_Awareness_NA","creatives_students_NA,creatives_pros_NA","Creative Pro Journey_NA,Student Journey_NA",2021-09-01T18:40:32.142+0100,Craig Mathis,Craig Mathis,2021-10-03,2022-11-30
Build Email Action for YSYS Journey,Your Shot Your Story_LCM NA Experiences,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Consideration_NA,Photography_Your Shot Your Story_Awareness_NA",,"Student Offer Message_YSYS_Email Action,Pro Offer Message_YSYS_Email Action,CCExpress_YSYS_MobilePush_Action",2021-09-01T18:40:32.142+0100,Craig Mathis,Craig Mathis,2021-10-03,2022-11-30
Build Email for YSYS Holiday Email Blast,Your Shot Your Story_LCM NA Experiences,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Consideration_NA,Photography_Your Shot Your Story_Awareness_NA",,Your Shot Your Story_Holiday Email,2021-09-01T18:40:32.142+0100,Craig Mathis,Craig Mathis,2021-10-03,2022-11-30
Test & Validate Updated Journey Audience and Email Action Delivery,Your Shot Your Story_LCM NA Experiences,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Consideration_NA,Photography_Your Shot Your Story_Awareness_NA",,,2021-09-01T18:40:32.142+0100,Craig Mathis,Craig Mathis,2021-10-03,2022-11-30
Test & Validate YSYS Holiday Email Blast,Your Shot Your Story_LCM NA Experiences,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Consideration_NA,Photography_Your Shot Your Story_Awareness_NA",,Your Shot Your Story_Holiday Email,2021-09-01T18:40:32.142+0100,Craig Mathis,Craig Mathis,2021-10-03,2022-11-30
Build International Audience Segments in AEP for Journeys and Social Ads,Your Shot Your Story_LCM Experiences,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_JP,Photography_Your Shot Your Story_Consideration_EMEA,Photography_Your Shot Your Story_Consideration_APAC,Photography_Your Shot Your Story_Engagement_EMEA","creatives_students_non-NA,creatives_pros_non_NA",,2021-09-01T18:40:32.142+0100,Craig Mathis,Craig Mathis,2021-10-03,2022-11-30
Build new Non-US Awareness Journey Experience for YSYS content,Your Shot Your Story_LCM Experiences,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_JP,Photography_Your Shot Your Story_Consideration_EMEA,Photography_Your Shot Your Story_Consideration_APAC,Photography_Your Shot Your Story_Engagement_EMEA",,Student_Journey_Non-NA,2021-09-01T18:40:32.142+0100,Craig Mathis,Craig Mathis,2021-10-03,2022-11-30
Build Localized Email Action for YSYS Journey by Region,Your Shot Your Story_LCM Experiences,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_JP,Photography_Your Shot Your Story_Consideration_EMEA,Photography_Your Shot Your Story_Consideration_APAC,Photography_Your Shot Your Story_Engagement_EMEA",,,2021-09-01T18:40:32.142+0100,Craig Mathis,Craig Mathis,2021-10-03,2022-11-30
Test & Validate International Journey Experiences,Your Shot Your Story_LCM Experiences,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_JP,Photography_Your Shot Your Story_Consideration_EMEA,Photography_Your Shot Your Story_Consideration_APAC,Photography_Your Shot Your Story_Engagement_EMEA",,,2021-09-01T18:40:32.142+0100,Craig Mathis,Craig Mathis,2021-10-03,2022-11-30
Build Social Post Content for FB & Twitter,Social Marketing Delivery_YourShotYourStory FY22,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Consideration_NA,Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_EMEA,Photography_Your Shot Your Story_Consideration_APAC,Photography_Your Shot Your Story_Engagement_EMEA",,"YSYS_Facebook_Photoshop_Post_1,YSYS_Facebook_Photoshop_Post_2,YSYS_Facebook_Photoshop_Post_3,YSYS_Facebook_Photoshop_Post_4,YSYS_Facebook_Photoshop_Post_5,YSYS_Facebook_Photoshop_Post_6,YSYS_Facebook_Photoshop_Post_7,YSYS_Facebook_Photoshop_Post_8,YSYS_Facebook_Photoshop_Post_9,YSYS_Facebook_Photoshop_Post_10,YSYS_Twitter_Photoshop_Post_1,YSYS_Twitter_Photoshop_Post_2,YSYS_Twitter_Photoshop_Post_3,YSYS_Twitter_Photoshop_Post_4,YSYS_Twitter_Photoshop_Post_5,YSYS_Twitter_Photoshop_Post_6,YSYS_Twitter_Photoshop_Post_7,YSYS_Twitter_Photoshop_Post_8,YSYS_Twitter_Photoshop_Post_9,YSYS_Twitter_Photoshop_Post_10",2021-09-01T18:40:32.142+0100,Vazgen Babayan,Vazgen Babayan,2021-10-03,2022-11-30
Approve and Publish Social Schedule,Social Marketing Delivery_YourShotYourStory FY22,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Consideration_NA,Photography_Your Shot Your Story_Awareness_NA,Photography_Your Shot Your Story_Consideration_EMEA,Photography_Your Shot Your Story_Consideration_APAC,Photography_Your Shot Your Story_Engagement_EMEA",,,2021-09-01T18:40:32.142+0100,Vazgen Babayan,Vazgen Babayan,2021-10-03,2022-11-30
Build Social Post Content for JP Social Properties,Japan Social Channel Experiences_YourShotYourStory FY22,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_JP,Photography_Your Shot Your Story_Consideration_JP",,,2021-09-01T18:40:32.142+0100,Vazgen Babayan,Vazgen Babayan,2021-10-03,2022-11-30
Approve and Publish Social Schedule,Japan Social Channel Experiences_YourShotYourStory FY22,,Complete,Adobe Workfront,Photography_Your Shot Your Story_FY22,"Photography_Your Shot Your Story_Awareness_JP,Photography_Your Shot Your Story_Consideration_JP",,,2021-09-01T18:40:32.142+0100,Vazgen Babayan,Vazgen Babayan,2021-10-03,2022-11-30
Deliver Campaign Analysis Dashboard by Region,Campaign Performance Analysis,,In Progress,Adobe Workfront,Photography_Your Shot Your Story_FY22,,,,2021-09-01T18:40:32.142+0100,Don Cohen,Steve Wirig,2021-10-03,2022-11-30
